level	name	clickId	url	from_url
4级	溶剂、防护油	471	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=471	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=451
4级	石油蜡	475	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=475	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=451
4级	添加剂	476	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=476	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=451
4级	催化剂	482	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=482	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=451
4级	黑色金属废料、残料	328	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=328	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=327
4级	有色金属废料、残料	334	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=334	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=327
3级	信号电缆	6436	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=6436	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=6435
3级	段制品、趋淘汰配件	5615	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5615	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5614
3级	碎石道砟	4918	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4918	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4916
3级	路基填料	4919	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4919	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4916
3级	信号装置配件	4713	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4713	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4711
3级	联锁装置配件	4717	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4717	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4711
3级	机车信号与列车运行控制系统配件	4735	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4735	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4711
3级	闭塞装置配件	4736	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4736	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4711
3级	调度集中、调度监督及计算机联锁、微机监测配件	4738	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4738	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4711
3级	钢轨绝缘件	4740	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4740	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4711
3级	引接线、跳线、连接线、中心线、接续线	4759	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4759	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4711
3级	公告显示设备	4383	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4383	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4382
3级	卡尺	3847	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3847	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3846
3级	千分尺	3856	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3856	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3846
3级	量表	3865	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3865	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3846
3级	量规及样板	3879	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3879	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3846
3级	平直量具	3894	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3894	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3846
3级	量仪	3899	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3899	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3846
3级	轨道衡、地衡	3907	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3907	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3846
3级	秤类	3916	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3916	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3846
3级	其他量具及衡器	3932	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3932	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3846
3级	防爆电器	2933	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2933	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2932
3级	监视器	2942	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2942	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2932
3级	制动电磁铁及配件	2945	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2945	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2932
3级	日用电器（具）	2950	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2950	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2932
3级	切削工具（刃具）	1787	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=1787	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=1786
3级	磨料磨具	1853	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=1853	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=1786
3级	硬质合金刀片	1905	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=1905	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=1786
